Name,NSE Code,Industry,Current Price,CMP to IV,Price to book value,Intrinsic Value,Market Capitalization,Price to Earning,Industry PE,Historical PE 3Years,DuPont Model,PEG Ratio
Crompton Gr. Con,CROMPTON,Electric Equipment,390.3,4,8.36,97.67,25100.92,57.1,73.9,40.52,27.49,30.86
Havells India,HAVELLS,Electric Equipment,1836.35,5.26,15.44,349.05,115080.94,90.49,73.9,70.4,23.92,9.09
Hitachi Energy,POWERINDIA,Electric Equipment,11096.15,22.22,34.56,499.27,47027.25,287.18,57.41,144.94,21.48,
Inox Wind,INOXWIND,Electric Equipment,605.05,,,,,,,,,
Schneider Elect.,SCHNEIDER,Electric Equipment,921.4,26.55,99.84,34.71,22030.71,101.28,57.41,65.71,150.59,3.42
Siemens,SIEMENS,Electric Equipment,7333.15,6.15,18.75,1192.77,261148.3,112.69,57.41,80.57,15.23,6.96
Suzlon Energy,SUZLON,Electric Equipment,48.1,14.62,19.02,3.29,64904.52,131,57.41,112.21,74.64,7.68
Triveni Turbine,TRITURBINE,Electric Equipment,586.75,3.38,19.53,173.61,18651.45,69.27,57.41,55.38,32.57,3.1
V-Guard Industri,VGUARD,Electric Equipment,377.55,3.66,9.22,103.02,16400.29,70.96,57.41,48.25,19.14,10.34
Graphite India,GRAPHITE,Electrodes - Graphites,591.65,1.89,2.11,312.27,11559.38,14.41,14.72,23.12,5.14,-0.57
HEG,HEG,Electrodes - Graphites,2393.45,2.78,2.09,860.71,9237.6,29.65,14.72,13.24,13.62,-0.81
Amber Enterp.,AMBER,Electronics - Components,3840.45,2.75,6.28,1394.96,12939.87,97.4,66.58,72.42,19.89,13.42
Bharat Electron,BEL,Electronics - Components,287.5,3.74,12.95,76.97,210156.05,52.7,73.93,26.46,28.64,3.27
Data Pattern,DATAPATTNS,Electronics - Components,3087.8,2.54,13,1215.83,17286.71,95.11,73.93,64.29,14.75,1.08
Honeywell Auto,HONAUT,Electronics - Components,53424.95,7.28,13.12,7336.51,47227.68,94.2,85.15,83.56,17.1,13.59
Kaynes Tech,KAYNES,Electronics - Components,3342.55,2.19,8.63,1528.65,21364.89,116.58,66.58,117.81,10.92,
Syrma SGS Tech.,SYRMA,Electronics - Components,452.5,3.23,4.96,140.18,8035.75,74.28,85.15,71.58,18.26,
Dixon Technolog.,DIXON,Electronics - Consumer,9204.75,4.47,32.44,2061.27,55064.25,149.63,101.73,116.47,44.4,3.54
Action Const.Eq.,ACE,Engineering,1518.95,2.29,14.77,663.49,18088.17,55.15,43.75,28.24,24.26,1.3
BEML Ltd,BEML,Engineering,4558.05,7.63,7.1,597.56,18979.69,67.3,70.31,45.16,14.42,1.93
Bharat Dynamics,BDL,Engineering,2845.7,8.5,15.49,334.91,52156.38,109.42,70.31,28.63,19.83,-14.06
Elecon Engg.Co,ELECON,Engineering,1138.8,2.27,7.98,502.35,12777.35,35.94,43.75,24.81,27.02,0.65
GMM Pfaudler,GMMPFAUDLR,Engineering,1325.85,1.48,6.18,894.06,5960.6,34.23,43.75,54.17,48.33,1.17
Hind.Aeronautics,HAL,Engineering,4945.25,3.41,11.26,1450.67,330725.93,43.55,70.31,14.68,25.69,1.64
Jupiter Wagons,JWL,Engineering,539.15,2.08,13.64,259.39,22228.79,66.74,43.75,24.59,27.59,0.83
MTAR Technologie,MTARTECH,Engineering,2103.5,3.55,9.76,592.57,6470.26,79.01,70.31,71.21,27.03,0.99
Praj Industries,PRAJIND,Engineering,520.4,1.88,8.61,277.01,9565.6,34.21,43.75,41.08,27.05,0.73
Thermax,THERMAX,Engineering,5297.1,6.1,14.15,869.05,63118.21,107.4,43.75,69.7,15.58,11.29
Titagarh Rail,TITAGARH,Engineering,1255,3.93,7.55,319.26,16901.51,58.56,43.75,36.55,15.64,0.69
Engineers India,ENGINERSIN,Engineering - Turnkey Services,283.7,1.82,7.46,155.88,15945.17,30.6,38.15,22.46,20.2,-14.1
GMR Airports Inf,GMRINFRA,Engineering - Turnkey Services,86.8,,,,,,,,,
HFCL,HFCL,Engineering - Turnkey Services,100.65,3.02,3.64,33.34,14520.58,44,38.15,31.22,14.77,5.31
Larsen & Toubro,LT,Engineering - Turnkey Services,3576.3,2.56,5.61,1397.45,491653.28,37.88,38.15,30.5,37.69,4.55
Rites,RITES,Engineering - Turnkey Services,749.4,1.55,7,483.63,18008.25,39.13,38.15,15.47,27.37,4.08
Sterling & Wils.,SWSOLAR,Engineering - Turnkey Services,768.35,,,,,,,,,
Cummins India,CUMMINSIND,Engines,3766,5.47,18.42,687.94,104393.53,73.58,41.73,39.67,20.58,6.95
Netwrk.18 Media,NETWORK18,Entertainment / Electronic Media Software,81.8,,,,,,,,,
PVR Inox,PVRINOX,Entertainment / Electronic Media Software,1349.65,,,,,,,,,
Saregama India,SAREGAMA,Entertainment / Electronic Media Software,458.9,2.71,6.22,169.26,8857.19,47.32,35.68,41.07,16.38,1.6
Sun TV Network,SUNTV,Entertainment / Electronic Media Software,665.7,1.08,2.61,614.14,26234.2,13.86,35.68,11.8,26.19,1.63
TV18 Broadcast,TV18BRDCST,Entertainment / Electronic Media Software,43.94,,,,,,,,,
Zee Entertainmen,ZEEL,Entertainment / Electronic Media Software,148.55,3.38,1.33,43.91,14268.54,43.98,35.68,26.36,10.95,-1.62
Chambal Fert.,CHAMBLFERT,Fertilizers,393.25,0.6,2.19,654.48,15755.62,12.34,23.01,10.45,16.21,0.98
Coromandel Inter,COROMANDEL,Fertilizers,1228.4,1.35,3.84,913.25,36169.37,22.03,23.01,16.87,23.03,1.28
F A C T,FACT,Fertilizers,693.75,7.11,32.63,97.58,44890.69,114.61,23.01,25.6,44.55,4.08
G S F C,GSFC,Fertilizers,222.1,1.16,0.69,191.48,8850.19,15.65,23.01,6.92,10.03,5.77
R C F,RCF,Fertilizers,148,1.76,1.79,84.15,8165,41.83,23.01,8.57,25.43,4.11
360 ONE,360ONE,Finance & Investments,809.25,3.99,8.47,202.74,29040.91,36.06,19.78,27.03,45.42,2.18
Aditya Birla Cap,ABCAPITAL,Finance & Investments,225.85,1.21,2.17,186.96,58736.64,17.58,19.78,17.99,44.17,0.54
Anand Rathi Wea.,ANANDRATHI,Finance & Investments,4087.45,2.84,26.36,1439.9,17097.06,76.05,19.78,34.57,49.54,2.46
Angel One,ANGELONE,Finance & Investments,2630.25,0.75,7.26,3495.23,23670,21.02,18.96,19.59,60.29,0.3
Bajaj Finance,BAJFINANCE,Finance & Investments,6828.95,1.59,5.38,4299.19,422709.43,29.23,19.78,41.35,50,1
Bajaj Finserv,BAJAJFINSV,Finance & Investments,1610.5,1.81,4.27,890.82,256953.47,31.59,19.78,42.06,65.45,1.55
Bajaj Holdings,BAJAJHLDNG,Finance & Investments,8152.75,1.33,1.67,6111.83,90731.97,12.46,19.78,14.75,2.38,0.66
Capri Global,CGCL,Finance & Investments,222.65,2.23,4.8,99.62,18367.29,65.74,19.78,68.6,34.38,4.19
Chola Financial,CHOLAHLDNG,Finance & Investments,1119.4,0.8,2.04,1400.6,21019.84,11.84,19.78,12.67,134.53,0.58
Cholaman.Inv.&Fn,CHOLAFIN,Finance & Investments,1274,2.02,5.5,630.8,107021.25,31.32,19.78,29.75,69.46,1.34
CreditAcc. Gram.,CREDITACC,Finance & Investments,1408.4,0.89,3.46,1574.61,22447.52,15.48,19.78,25.76,51.09,0.44
Five-Star Bus.Fi,FIVESTAR,Finance & Investments,720.4,1.02,4.08,706.95,21068.03,25.14,19.78,30.15,29.29,0.63
General Insuranc,GICRE,Finance & Investments,383.75,1.23,1.5,311.13,67325,10.47,42.34,9.04,6.96,0.73
HDFC AMC,HDFCAMC,Finance & Investments,3818.95,3.54,11.51,1079.99,81528.45,41.9,19.78,34.66,28.8,2.64
HDFC Life Insur.,HDFCLIFE,Finance & Investments,566.95,6.7,8.34,84.56,121947.77,77.44,42.34,91.29,0.76,13.08
I D F C,IDFC,Finance & Investments,114.95,1.74,1.38,66.12,18391.82,17.53,19.78,26.37,0.55,0.57
ICICI Lombard,ICICIGI,Finance & Investments,1657.65,2.37,6.66,697.96,81722.79,42.61,42.34,42.6,12,3.33
ICICI Pru Life,ICICIPRULI,Finance & Investments,582.25,7.98,7.69,72.95,83917.15,98.65,42.34,91.47,-13.07,-49.82
ICICI Securities,ISEC,Finance & Investments,729.6,0.7,5.98,1048.39,23608.78,13.85,18.96,16.48,80.89,0.49
IIFL Finance,IIFL,Finance & Investments,396.4,0.68,1.72,583.43,16805.08,9.34,19.78,12.61,62.01,0.69
JM Financial,JMFINANCIL,Finance & Investments,80,0.96,0.93,83.04,7644.71,11.49,19.78,10.61,26.37,-88.38
Jio Financial,JIOFIN,Finance & Investments,367.8,1.56,1.68,235.19,233673.77,145.63,19.78,143.16,0.81,
L&T Finance Ltd,LTF,Finance & Investments,157,1.84,1.67,85.33,39076.36,16.85,19.78,20.4,34.16,22.47
Life Insurance,LICI,Finance & Investments,1036.15,1.17,10.7,885.31,655364.68,16.25,42.34,15.08,27.86,0.23
M & M Fin. Serv.,M&MFIN,Finance & Investments,269.6,1.22,1.68,221.59,33311.4,17.32,19.78,16.92,50.95,15.33
Manappuram Fin.,MANAPPURAM,Finance & Investments,177.65,0.5,1.44,353.85,15036.97,7.37,19.78,7.53,44.32,0.43
Max Financial,MFSL,Finance & Investments,950.4,7.91,8.44,120.11,32799.73,96.45,19.78,80.55,21.46,18.2
Motil.Oswal.Fin.,MOTILALOFS,Finance & Investments,2260,0.95,3.9,2372.72,33675.64,13.81,18.96,9.43,36.68,0.26
Muthoot Finance,MUTHOOTFIN,Finance & Investments,1717.95,1.39,2.92,1236.41,68969.17,17.61,19.78,13.88,42.3,1.23
New India Assura,NIACL,Finance & Investments,248,2.06,1.46,120.56,40870.4,36.62,42.34,36.36,4.78,0.9
Nippon Life Ind.,NAM-INDIA,Finance & Investments,618.75,2.79,9.77,221.76,39009.62,35.19,19.78,27.11,26.07,1.97
