Name,NSE Code,Industry,Current Price,CMP to IV,Price to book value,Intrinsic Value,Market Capitalization,Price to Earning,Industry PE,Historical PE 3Years,DuPont Model,PEG Ratio
Zomato Ltd,ZOMATO,Miscellaneous,185.65,6.12,8.06,30.35,163739.28,466.49,46.8,482.88,-10.16,27.95
Safari Inds.,SAFARI,Moulded Luggage,2060.5,2.71,12.2,759.9,10048.46,57.17,96.41,61.78,30.63,1.27
V I P Inds.,VIPIND,Moulded Luggage,517.45,8.59,10.79,60.23,7345.57,135.27,96.41,68.29,50.49,-7.57
O N G C,ONGC,Oil Drilling / Allied Services,281.8,0.75,1.04,377.03,354512.18,6.94,19.78,5.36,22.7,0.7
Oil India,OIL,Oil Drilling / Allied Services,651.5,0.37,1.48,1772.39,70648.99,9.01,19.78,4.43,28.37,0.61
EPL Ltd,EPL,Packaging,192.95,1.48,3.04,130.35,6143.07,22.33,20.98,26.37,30.98,4.05
Asian Paints,ASIANPAINT,Paints / Varnishes,2899.4,4.03,14.79,719.36,278109.89,50.99,45.85,80.07,34.35,2.48
Berger Paints,BERGEPAINT,Paints / Varnishes,488.1,3.83,10.57,127.47,56902.55,48.72,45.85,69.24,29.11,2.53
Indigo Paints,INDIGOPNTS,Paints / Varnishes,1389.5,2.06,7.24,673.34,6616.9,44.51,45.85,57.21,23.25,1.1
Kansai Nerolac,KANSAINER,Paints / Varnishes,272.95,2.16,3.94,126.53,22064.7,32.53,45.85,55.85,15.2,3.47
Century Textiles,CENTURYTEX,Paper,2138.5,18.83,6.04,113.54,23886.16,93.61,8.09,63.93,12.51,-2
JK Paper,JKPAPER,Paper,378.5,0.61,1.24,617.79,6411.92,5.71,8.09,7.56,41.06,0.26
Dabur India,DABUR,Personal Care - Indian,558.2,3.86,10.02,144.57,98915.22,54.54,37.59,55.26,23.56,14.02
Emami,EMAMILTD,Personal Care - Indian,539.05,3.21,9.79,167.92,23529.54,32.66,37.59,31.52,43.37,3
Godrej Consumer,GODREJCP,Personal Care - Indian,1312.1,,,,,,,,,
Jyothy Labs,JYOTHYLAB,Personal Care - Indian,422.55,3.01,8.59,140.4,15516.37,42.08,37.59,35.76,19.39,3.13
Colgate-Palmoliv,COLPAL,Personal Care - Multinational,2720.65,5.25,39.39,518.3,73997.82,55.28,56.73,41.46,89.67,4.57
Gillette India,GILLETTE,Personal Care - Multinational,6944.4,3.6,21.98,1929.99,22631.87,58.41,56.73,57.21,53.63,6.56
Hind. Unilever,HINDUNILVR,Personal Care - Multinational,2381.3,2.43,10.94,980.6,559508.18,54.45,56.73,60.95,28.34,5.14
P & G Hygiene,PGHH,Personal Care - Multinational,15907.25,4.98,49.06,3194.54,51636.1,69.29,56.73,78.95,88.29,5.59
P I Industries,PIIND,Pesticides / Agrochemicals - Indian,3670.15,1.68,6.4,2184.51,55682.77,33.16,34.45,47.55,20.94,1
Sumitomo Chemi.,SUMICHEM,Pesticides / Agrochemicals - Indian,435.95,2.61,8.67,167.23,21760.28,65.35,34.45,51.48,29.02,2.31
UPL,UPL,Pesticides / Agrochemicals - Indian,509.75,,,,,,,,,
Bayer Crop Sci.,BAYERCROP,Pesticides / Agrochemicals - Multinational,5567,1.78,8,3125.07,25019.23,31.26,31.58,33.48,32.63,1.77
Divi's Lab.,DIVISLAB,Pharmaceuticals - Indian - Bulk Drugs,4115,2.19,8.69,1878.66,109240.34,79,33.33,53.73,26.47,5.04
Jubilant Pharmo,JUBLPHARMA,Pharmaceuticals - Indian - Bulk Drugs,714.35,7.53,2.13,94.92,11379.61,310.91,33.33,15.17,21.97,
Alembic Pharma,APLLTD,Pharmaceuticals - Indian - Bulk Drugs & Formln,958.75,1.95,3.93,490.54,18845.52,30.59,36.41,28.86,15.65,26.37
Alkem Lab,ALKEM,Pharmaceuticals - Indian - Bulk Drugs & Formln,5410,2.47,6.56,2191.39,64684.68,38.42,36.41,32.7,24.69,3.44
Aurobindo Pharma,AUROPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln,1231.55,1.77,2.55,694.35,72161.32,25.72,36.41,13.65,17.33,-5.65
Biocon,BIOCON,Pharmaceuticals - Indian - Bulk Drugs & Formln,314.5,1.74,1.9,180.41,37758.93,36.71,36.41,48,15.85,5.43
Cipla,CIPLA,Pharmaceuticals - Indian - Bulk Drugs & Formln,1487.8,1.84,4.56,808.8,120124.27,28.2,36.41,29.4,21.27,1.11
Concord Biotech,CONCORDBIO,Pharmaceuticals - Indian - Bulk Drugs & Formln,1451.6,2.41,11.23,602.1,15186.07,50.44,36.41,52.42,25.13,2.72
Dr Reddy's Labs,DRREDDY,Pharmaceuticals - Indian - Bulk Drugs & Formln,5912.8,1.14,3.51,5179.82,98636.37,17.72,36.41,23.37,26.11,0.72
FDC,FDC,Pharmaceuticals - Indian - Bulk Drugs & Formln,475.6,1.48,3.92,322.04,7743.25,26.78,36.41,24.82,14.86,20.44
Glenmark Life,GLS,Pharmaceuticals - Indian - Bulk Drugs & Formln,830.05,0.72,4.34,1152.19,10170.37,21.58,36.41,12.62,29.02,1.13
Glenmark Pharma.,GLENMARK,Pharmaceuticals - Indian - Bulk Drugs & Formln,1028.1,,,,,,,,,
Granules India,GRANULES,Pharmaceuticals - Indian - Bulk Drugs & Formln,426.55,1.19,3.23,358.91,10338.15,25.5,36.41,16.83,28.25,2.24
Ipca Labs.,IPCALAB,Pharmaceuticals - Indian - Bulk Drugs & Formln,1300.45,2.39,5.37,543.64,32992.96,64.27,36.41,33.5,24.15,4.54
J B Chem & Pharm,JBCHEPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,1677.05,2.43,8.9,691.28,26028.06,47.09,36.41,38.75,26.22,1.89
Laurus Labs,LAURUSLABS,Pharmaceuticals - Indian - Bulk Drugs & Formln,448.1,3.11,5.94,144.04,24151.17,150.36,36.41,33.17,32.38,13.41
Lupin,LUPIN,Pharmaceuticals - Indian - Bulk Drugs & Formln,1633.75,5.03,5.2,324.66,74458.07,38.88,36.41,47.24,14.58,1.82
Mankind Pharma,MANKIND,Pharmaceuticals - Indian - Bulk Drugs & Formln,2089.55,2.19,8.68,956.08,83714.68,45.86,36.41,54.59,20.08,1.59
Natco Pharma,NATCOPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,1021.55,1.85,3.51,551.8,18296.97,14.35,36.41,26.73,7.45,36.79
Piramal Pharma,PPLPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln,149.7,15.26,2.49,9.81,19804.59,1261.53,36.41,1245.83,9.13,
Sun Pharma.Inds.,SUNPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln,1495,2.42,5.59,617.64,358700.59,35.89,36.41,29.37,20.39,1.53
Suven Pharma,SUVENPHAR,Pharmaceuticals - Indian - Bulk Drugs & Formln,629.45,1.49,8.28,423.3,16023.59,43.19,36.41,32.03,34.11,
Syngene Intl.,SYNGENE,Pharmaceuticals - Indian - Bulk Drugs & Formln,686.8,3.54,6.5,193.89,27646.24,53.29,36.41,57.6,24.13,5.55
Zydus Lifesci.,ZYDUSLIFE,Pharmaceuticals - Indian - Bulk Drugs & Formln,1084.65,2.57,5.51,422.1,109141.15,28.35,36.41,22.25,21.94,1.72
Ajanta Pharma,AJANTPHARM,Pharmaceuticals - Indian - Formulations,2381.85,2.15,8.39,1106.68,29991.47,36.76,27.38,26.85,25.36,2.28
Caplin Point Lab,CAPLIPOINT,Pharmaceuticals - Indian - Formulations,1310.85,0.95,4.31,1375.58,9954.84,21.81,27.38,19.77,22.03,1.03
ERIS Lifescience,ERIS,Pharmaceuticals - Indian - Formulations,888.85,1.69,4.67,526.95,12092.58,30.83,27.38,25.64,24.55,4.95
Gland Pharma,GLAND,Pharmaceuticals - Indian - Formulations,1865.2,1.17,3.49,1599.3,30721.73,39.78,27.38,38.73,18.2,
Torrent Pharma.,TORNTPHARM,Pharmaceuticals - Indian - Formulations,2673.65,6.43,13.43,416.09,90484.4,63.22,27.38,43.68,44.41,4.57
Abbott India,ABBOTINDIA,Pharmaceuticals - Multinational,26052.25,3.17,14.97,8222.36,55361.06,46.09,42.02,49.92,35.72,2.09
Astrazeneca Phar,ASTRAZEN,Pharmaceuticals - Multinational,5688.05,5.5,21.7,1034.59,14220.13,89.18,42.02,91.47,18.19,2.39
Glaxosmi. Pharma,GLAXO,Pharmaceuticals - Multinational,2471.05,6.5,23.58,380.27,41861.1,60.54,42.02,54.9,47.98,5.94
Sanofi India,SANOFI,Pharmaceuticals - Multinational,8927.4,4.28,20.26,2087.55,20559.82,36.19,42.02,29.2,71.42,3.97
Astral,ASTRAL,Plastics Products,2107.45,4.72,17.76,446.79,56611.8,103.73,29.19,93.88,27.7,4.55
Finolex Inds.,FINPIPE,Plastics Products,307.05,2.72,3.45,112.75,19051.72,41.83,29.19,25.28,5.18,9.07
Prince Pipes,PRINCEPIPE,Plastics Products,635,2.9,4.62,219.26,7020.61,41.48,29.19,34.62,15.36,2.57
Supreme Inds.,SUPREMEIND,Plastics Products,5554.25,3.16,13.8,1758.34,70553.88,65.97,29.19,34.64,25.82,3.04
Adani Energy Sol,ADANIENSOL,Power Generation And Supply,1098.5,5.48,9.67,200.47,122536.82,107.73,31.27,132.32,45.38,7.06
Adani Green,ADANIGREEN,Power Generation And Supply,1888.75,14.77,30.33,127.89,299184.16,239.11,31.27,519.48,60.46,6.65
Adani Power,ADANIPOWER,Power Generation And Supply,709.6,1.58,6.29,450.37,273688.49,13.11,31.27,11.19,30.58,0.15
CESC,CESC,Power Generation And Supply,146.8,1.11,1.73,132.29,19459.36,13.78,31.27,7.78,31.71,1.86
JSW Energy,JSWENERGY,Power Generation And Supply,618.65,3.85,4.84,160.75,108125.69,62.7,31.27,41.16,17.89,3.02
NHPC Ltd,NHPC,Power Generation And Supply,105.61,3.17,2.79,33.35,106085.49,29.26,31.27,10.59,14.93,3.2
NLC India,NLCINDIA,Power Generation And Supply,241.05,1.97,1.98,122.21,33424.84,17.98,31.27,8.37,27.73,4.44
NTPC,NTPC,Power Generation And Supply,371.45,1.38,2.34,268.67,360182.62,18.45,31.27,9.55,36.54,1.99
Power Grid Corpn,POWERGRID,Power Generation And Supply,316.9,2.31,3.35,137.04,294736.1,18.84,31.27,10.75,43.88,2.46
SJVN,SJVN,Power Generation And Supply,147.1,4.55,4.04,32.35,57807.26,64.7,31.27,10.26,16.33,25.47
Tata Power Co.,TATAPOWER,Power Generation And Supply,447.85,2.8,4.44,159.72,143103.3,40.63,31.27,30.79,26.7,0.54
Torrent Power,TORNTPOWER,Power Generation And Supply,1410.7,3.63,5.63,388.39,67800.6,37.01,31.27,16.85,42,2.3
Doms Industries,DOMS,Printing & Stationery,1792.55,,,,,,,,,
KSB,KSB,Pumps,4555.75,3.33,12.2,1366.94,15858.61,74.64,38.76,39.37,23.4,3.12
B P C L,BPCL,Refineries,648.4,0.78,1.9,836.54,140654.33,5.28,7.93,6.44,13.59,0.19
C P C L,CHENNPETRO,Refineries,929.6,0.68,1.64,1375.2,13842.87,5.17,7.93,3.24,57.83,0.07
H P C L,HINDPETRO,Refineries,534.7,0.88,1.59,608.02,75849.69,4.8,7.93,4.38,-15.07,0.25
I O C L,IOC,Refineries,167.85,0.75,1.29,222.78,237025.01,5.68,7.93,4.97,15.45,0.29
M R P L,MRPL,Refineries,211.65,1.86,2.83,113.69,37093.86,10.31,7.93,5.32,40.86,0.17
Reliance Industr,RELIANCE,Refineries,2967,2.83,2.49,1049.69,2007380.12,28.81,7.93,25.68,18.59,2.42
RHI Magnesita,RHIM,Refractories / Intermediates,670.2,,,,,,,,,
GE Shipping Co,GESHIP,Shipping,1022,0.73,1.21,1401.33,14590.81,5.55,18.21,6.54,23.4,0.03
Adani Wilmar,AWL,Solvent Extraction,346.65,8.03,5.42,43.15,45053.37,272.56,18.6,102.96,17.59,-18.01
Guj. Ambuja Exp,GAEL,Solvent Extraction,150.85,1.53,2.51,98.34,6919.04,20.01,18.6,13.8,17.21,1.71
Marico,MARICO,Solvent Extraction,606,5.02,20.49,120.63,78422.55,52.93,18.6,53.43,46.9,8.88
Patanjali Foods,PATANJALI,Solvent Extraction,1412.95,2.49,5.03,567.9,51148.06,66.85,18.6,46.09,12.74,1.15
APL Apollo Tubes,APLAPOLLO,Steel - Large,1697,3.77,13.12,450.42,47095.91,64.31,19.24,50.21,31.8,1.71
JSW Steel,JSWSTEEL,Steel - Large,916.85,1.72,2.91,533.74,224211.39,26.55,19.24,19.63,25.11,11.49
Jai Balaji Inds.,JAIBALAJI,Steel - Large,925,3.12,10.03,296.52,15138.37,17.22,19.24,10.93,22.98,0.34
Jindal Saw,JINDALSAW,Steel - Large,542.25,0.68,1.71,799.73,17338.63,10.91,19.24,12.08,19.57,0.41
Jindal Stain.,JSL,Steel - Large,713.65,1.6,4.1,445.17,58764.41,22.36,19.24,8.54,27,0.28
S A I L,SAIL,Steel - Large,167.75,1.54,1.2,108.64,69289.57,18.73,19.24,7.85,14.29,2.67
Shyam Metalics,SHYAMMETL,Steel - Large,651.95,0.62,1.89,1048.61,18197.97,17.7,19.24,7.4,16.14,1.57
Tata Steel,TATASTEEL,Steel - Large,174.15,,,,,,,,,
Tube Investments,TIINDIA,Steel - Large,3803.15,3.14,14.41,1212.55,73555.04,88.93,19.24,62.73,41.52,3.13
Welspun Corp,WELCORP,Steel - Large,600.75,1.16,3.15,518.55,15719.62,14.6,19.24,15.23,15.06,-730
Godawari Power,GPIL,Steel - Medium / Small,949,1.01,2.89,941.05,12901.17,13.78,24.01,5.03,23.95,0.46
Mah. Seamless,MAHSEAMLES,Steel - Medium / Small,773.2,1.14,1.8,676.24,10360.24,10.91,24.01,8.17,16.78,0.41
NMDC Steel,NSLNISP,Steel - Medium / Small,64.85,,,,,,,,,
Ratnamani Metals,RATNAMANI,Steel - Medium / Small,3319.35,2.19,7.39,1513.21,23266,37.31,24.01,35.02,27.95,1.89
Usha Martin,USHAMART,Steel - Medium / Small,358.05,2.49,4.59,144.05,10911.27,25.68,24.01,16.4,21.42,0.49
Jindal Steel,JINDALSTEL,Steel - Sponge Iron,1066.4,1.78,2.49,598.21,108782.22,18.39,16.64,10.34,21.21,0.3
Balrampur Chini,BALRAMCHIN,Sugar,377.4,1.46,2.22,258.99,7614,14.25,12.54,18.35,18.33,-12.08
EID Parry,EIDPARRY,Sugar,646.3,0.83,1.74,777.89,11472.97,13.4,12.54,10.8,58.43,0.49
Sh.Renuka Sugar,RENUKA,Sugar,41.94,,,,,,,,,
Triven.Engg.Ind.,TRIVENI,Sugar,347.55,1.66,2.62,208.82,7607.78,19.23,12.54,16.51,19.77,1.51
CCL Products,CCL,Tea,566.05,1.62,4.49,349.9,7558.33,30.24,30.17,29.82,30.74,3.01
Tata Consumer,TATACONSUM,Tea,1118.75,5.7,6.58,196.28,106598.34,77.64,30.17,73.39,12.77,2.83
ITI,ITI,Telecommunications - Equipment,318.65,,,,,,,,,
Tejas Networks,TEJASNET,Telecommunications - Equipment,1175.15,6.23,6.33,188.6,20060.76,318.54,71.01,77.95,1.2,-20.96
Bharti Airtel,BHARTIARTL,Telecommunications - Service Provider,1372.7,6.05,9.51,226.82,816862.56,68.56,49.76,75.65,94.39,0.56
Railtel Corpn.,RAILTEL,Telecommunications - Service Provider,437.85,2.43,7.76,180.23,14052.26,53,49.76,23.98,27.24,3.58
Tata Comm,TATACOMM,Telecommunications - Service Provider,1828.6,9.3,29.21,196.72,52115.12,48.14,49.76,26.77,284.14,0.66
Tata Tele. Mah.,TTML,Telecommunications - Service Provider,77.1,,,,,,,,,
Vodafone Idea,IDEA,Telecommunications - Service Provider,13.96,,,,,,,,,
Trident,TRIDENT,Textiles - Cotton/Blended,37.91,4.33,4.49,8.76,19319.19,55.32,24.94,33.73,23.72,-50.75
Vardhman Textile,VTL,Textiles - Cotton/Blended,439.35,1.52,1.41,289.69,12704.91,20.1,24.94,12.83,13.71,-28.71
Grasim Inds,GRASIM,Textiles - Manmade,2445.3,1.59,1.81,1537.34,163576.79,27.93,27.12,18,27.17,1.52
Alok Industries,ALOKINDS,Textiles - Processing,26.56,,,,,,,,,
Aditya Bir. Fas.,ABFRL,Textiles - Products,277.9,,,,,,,,,
K P R Mill Ltd,KPRMILL,Textiles - Products,798.55,2.96,6.3,269.52,27295.52,33.88,33.07,24.87,28.61,1.75
Page Industries,PAGEIND,Textiles - Products,35240.6,3.81,25.69,9244.77,39293.26,72.84,33.07,82.26,70.88,6.9
Raymond,RAYMOND,Textiles - Products,2244.2,1.07,3.24,2104.01,14940.48,8.89,28.94,13.08,28.33,0.15
Welspun Living,WELSPUNLIV,Textiles - Products,144.25,1.73,3.19,83.26,14018.34,20.9,28.94,22.08,19.9,1.59
Adani Enterp.,ADANIENT,Trading,3342.8,9.72,9.7,343.85,381079.55,102.94,36.73,139.13,15.91,2.32
Aegis Logistics,AEGISCHEM,Trading,635.3,2.07,6.16,306.65,22299.05,43.4,36.73,26.74,28.08,2.4
Avenue Super.,DMART,Trading,4776.85,5.03,16.61,950.45,310845.43,122.6,62.11,120.93,23.09,5.29
Cello World,CELLO,Trading,924.5,2.2,20.05,419.73,19620.8,73.75,36.73,60.26,131.29,
FSN E-Commerce,NYKAA,Trading,176.9,33.13,40.06,5.34,50526.32,1565.67,51.91,1495,25.33,57.8
Honasa Consumer,HONASA,Trading,418.5,,,,,,,,,
MMTC,MMTC,Trading,75.69,8.24,7.87,9.19,11353.5,119.5,36.73,53.33,9.64,2.48
Medplus Health,MEDPLUS,Trading,713.75,4.61,5.61,154.83,8531.96,145.69,62.11,148.65,22.05,63.9
Redington,REDINGTON,Trading,209.35,0.83,2.2,252.43,16366.47,13.39,36.73,10.09,32.82,0.75
Trent,TRENT,Trading,4691.7,6.22,41.01,753.9,166784.01,184.4,62.11,176.13,40.96,3.26
Vedant Fashions,MANYAVAR,Trading,1038.9,3.47,15.78,299.75,25231.73,60.94,62.11,76.78,42.65,3.28
Indus Towers,INDUSTOWER,Transmisson Line Towers / Equipment,343.5,1.63,3.41,210.62,92571.06,15.4,23.33,13.7,36.06,0.71
K E C Intl.,KEC,Transmisson Line Towers / Equipment,784.85,3.05,4.98,257.33,20177.59,58.17,62.36,36.77,26.72,-8.44
Kalpataru Proj.,KPIL,Transmisson Line Towers / Equipment,1223.5,1.9,3.93,644.09,19875.31,38.99,62.36,18.83,34.56,22.94
Interglobe Aviat,INDIGO,Transport - Airlines,4405.3,,,,,,,,,
Easy Trip Plann.,EASEMYTRIP,Travel Agencies,45.45,1.18,13.09,38.67,8053.9,48.35,52.15,62.66,63.31,0.47
I R C T C,IRCTC,Travel Agencies,1121.15,3.26,31.52,343.51,89692,78.94,79.27,69.7,66.5,2.26
Apollo Tyres,APOLLOTYRE,Tyres,482.9,1.85,2.22,261.61,30669.04,17.3,23.87,19.03,24.87,1.06
Balkrishna Inds,BALKRISIND,Tyres,3052.75,2.05,6.73,1491.42,59014.88,40.13,23.87,33.93,18.56,2.79
CEAT,CEATLTD,Tyres,2374.85,1.13,2.37,2100.67,9606.37,14.12,23.87,22.23,25.53,0.74
MRF,MRF,Tyres,129516.4,2.09,3.3,62008.36,54914.95,26.4,23.87,36.54,15.67,2.03
